keyword_concept_en_final,keyword_concept_polish_final,n_records,method,review_flag_3c
post-communist,postkomunistyczny,1,direct_rare_glossary,ok
phobic disorder,phobic zaburzenie,1,fallback_phrase_translation,ok
physical appearance,fizyczny appearance,1,fallback_phrase_translation,ok
physical health,fizyczny zdrowie,1,fallback_phrase_translation,ok
physiological phenomena,zjawiska fizjologiczne,1,direct_rare_glossary,ok
picture,picture,1,fallback_untranslated_or_international,ok
piecewise multi-phase model,piecewise multi-phase model,1,fallback_untranslated_or_international,ok
plasma,osocze,1,fallback_phrase_translation,ok
pmr,PMR,1,direct_rare_glossary,ok
personality types,osobowość types,1,previous_polish_retained,ok
pharmacokinetics,pharmacokinetics,1,fallback_untranslated_or_international,ok
phenobarbital,phenobarbital,1,fallback_untranslated_or_international,ok
phenomenology of delusion,phenomenology of delusion,1,fallback_untranslated_or_international,ok
phenotypic features,phenotypic features,1,fallback_untranslated_or_international,ok
philosophical therapy,philosophical terapia,1,fallback_phrase_translation,ok
philosophy of life,philosophy of życie,1,previous_polish_retained,ok
phlosophy,phlosophy,1,fallback_untranslated_or_international,ok
psychiatric morbidity,chorobowość psychiatryczna,1,previous_polish_retained,ok
psychiatric nurses,psychiatryczny pielęgniarki,1,fallback_phrase_translation,ok
psychiatric outpatients,psychiatryczny outpatients,1,fallback_phrase_translation,ok
psychiatrist,psychiatrist,1,fallback_untranslated_or_international,ok
psychical activity,psychical activity,1,fallback_untranslated_or_international,ok
behavioral addictions,behavioral addictions,1,fallback_untranslated_or_international,ok
behaviorism,behaviorism,1,fallback_untranslated_or_international,ok
bentus,bentus,1,fallback_untranslated_or_international,ok
protocol compliance,przestrzeganie protokołu,1,fallback_phrase_translation,strong_review_non_substantive_or_metadata
psorasis,psorasis,1,fallback_untranslated_or_international,strong_review_typo_or_garbled_term
pssi-persnlichkeits-stil-und strungs-inventar,pssi-persnlichkeits-stil-und strungs-inventar,1,fallback_untranslated_or_international,strong_review_typo_or_garbled_term
psychiatric care,psychiatryczny care,1,fallback_phrase_translation,ok
psychiatric clinical care,psychiatryczny kliniczny care,1,fallback_phrase_translation,ok
psychiatric comorbidity,współchorobowość psychiatryczna,1,previous_polish_retained,ok
psychiatric disability,psychiatryczny disability,1,fallback_phrase_translation,ok
psychiatric illness,psychiatryczny illness,1,fallback_phrase_translation,ok
process research,process research,1,fallback_untranslated_or_international,ok
professionals,profesjonaliści,1,direct_rare_glossary,strong_review_non_substantive_or_metadata
prolonged exposure,przedłużona ekspozycja,1,direct_rare_glossary,ok
prophylactic adnexectomy,profilaktyczne usunięcie przydatków,1,direct_rare_glossary,ok
prophylactic mastectomy,mastektomia profilaktyczna,1,direct_rare_glossary,ok
propofol,propofol,1,direct_rare_glossary,ok
proprioception,propriocepcja,1,fallback_phrase_translation,ok
prospective iu,prospective iu,1,fallback_untranslated_or_international,ok
preventive interventions,profilaktyczny interwencje,1,fallback_phrase_translation,ok
preventive methods,profilaktyczny metody,1,fallback_phrase_translation,ok
preventive operations,profilaktyczny operations,1,fallback_phrase_translation,ok
primary central nervous system lymphoma,pierwotny chłoniak ośrodkowego układu nerwowego,1,direct_rare_glossary,ok
primary health care,primary zdrowie care,1,fallback_phrase_translation,ok
prion protein,białko prionowe,1,direct_rare_glossary,ok
privacy policy,polityka prywatności,1,fallback_phrase_translation,strong_review_non_substantive_or_metadata
problematic internet use,problematic internet używanie,1,previous_polish_retained,ok
psychodrama,psychodrama,1,fallback_untranslated_or_international,ok
psychodynamics,psychodynamics,1,fallback_untranslated_or_international,ok
psychogenic binge easting,psychogenic binge easting,1,fallback_untranslated_or_international,ok
psychological assistance,psychologiczny assistance,1,fallback_phrase_translation,ok
psychological counselors,psychologiczny counselors,1,fallback_phrase_translation,ok
psychological disorder,psychologiczny zaburzenie,1,fallback_phrase_translation,ok
psychological flow,psychologiczny flow,1,fallback_phrase_translation,ok
psychological hardiness,psychologiczny hardiness,1,fallback_phrase_translation,ok
blood,blood,1,fallback_untranslated_or_international,ok
borderline functioning,borderline funkcjonowanie,1,fallback_phrase_translation,ok
borderline patients,borderline pacjenci,1,fallback_phrase_translation,ok
bowen's theory,bowen's theory,1,fallback_untranslated_or_international,ok
brain-behavioral function,brain-behavioral funkcja,1,fallback_phrase_translation,ok
brain-derived,brain-derived,1,fallback_untranslated_or_international,ok
psycho-pathological symptom,psycho-patologiczny objaw,1,fallback_phrase_translation,ok
psychodiagnostics,psychodiagnostics,1,fallback_untranslated_or_international,ok
biographical narration,biographical narration,1,fallback_untranslated_or_international,ok
biography,biography,1,fallback_untranslated_or_international,ok
bion's theory,bion's theory,1,fallback_untranslated_or_international,ok
birding,birding,1,fallback_untranslated_or_international,ok
bisexual men,bisexual mężczyźni,1,previous_polish_retained,ok
bisexuality,bisexuality,1,fallback_untranslated_or_international,ok
bleeding,bleeding,1,fallback_untranslated_or_international,ok
blindness,blindness,1,fallback_untranslated_or_international,ok
bert hellinger,bert hellinger,1,fallback_untranslated_or_international,ok
bifactor model,bifactor model,1,fallback_untranslated_or_international,ok
big five,big five,1,fallback_untranslated_or_international,ok
biid,biid,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
binging,binging,1,fallback_untranslated_or_international,ok
bioactive compounds,bioactive compounds,1,fallback_untranslated_or_international,ok
bioelectrical impedance analysis,bioelectrical impedance analysis,1,fallback_untranslated_or_international,ok
bioethics,bioethics,1,fallback_untranslated_or_international,ok
qualitative research,badanie jakościowe,1,previous_polish_retained,ok
quality of care,jakość of care,1,previous_polish_retained,ok
quantitative methods,quantitative metody,1,fallback_phrase_translation,ok
quarantine,quarantine,1,fallback_untranslated_or_international,ok
rapid cycling,rapid cycling,1,fallback_untranslated_or_international,ok
rating scales,rating scales,1,fallback_untranslated_or_international,ok
regulatory theory of temperament,regulatory theory of temperament,1,fallback_untranslated_or_international,ok
rehospitalisation,rehospitalisation,1,fallback_untranslated_or_international,ok
psychosomatic therapy,psychosomatic terapia,1,fallback_phrase_translation,ok
psychosurgery,psychosurgery,1,fallback_untranslated_or_international,ok
psychotic studies,psychotyczny studies,1,fallback_phrase_translation,ok
public health,public zdrowie,1,fallback_phrase_translation,ok
putamen,putamen,1,fallback_untranslated_or_international,ok
qol measures,qol measures,1,fallback_untranslated_or_international,ok
qualitative analysis,qualitative analysis,1,fallback_untranslated_or_international,ok
qualitative methods,qualitative metody,1,fallback_phrase_translation,ok
psychometric scales,psychometric scales,1,fallback_untranslated_or_international,ok
psychometric value,psychometric value,1,fallback_untranslated_or_international,ok
psychopathological dimensions,psychopathological dimensions,1,fallback_untranslated_or_international,ok
psychosocial functioning,psychosocial funkcjonowanie,1,fallback_phrase_translation,ok
psychosocial impact,psychospołeczny impact,1,previous_polish_retained,ok
psychosocial support,psychosocial wsparcie,1,fallback_phrase_translation,ok
psychosocial support for refugees,psychosocial wsparcie for refugees,1,fallback_phrase_translation,ok
psychosomatic symptom,psychosomatic objaw,1,fallback_phrase_translation,ok
psychological help,psychologiczny help,1,fallback_phrase_translation,ok
psychological immunity,psychologiczny immunity,1,fallback_phrase_translation,ok
psychological interventions,psychologiczny interwencje,1,fallback_phrase_translation,ok
psychological measurement,psychologiczny measurement,1,fallback_phrase_translation,ok
psychological predictors,psychologiczny predictors,1,fallback_phrase_translation,ok
psychological resources,psychologiczny resources,1,fallback_phrase_translation,ok
psychological traits,psychologiczny traits,1,fallback_phrase_translation,ok
psychometric evaluation,psychometric evaluation,1,fallback_untranslated_or_international,ok
saliva,saliva,1,fallback_untranslated_or_international,ok
sasb,sasb,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
scales,scales,1,fallback_untranslated_or_international,ok
schema modes,schema modes,1,fallback_untranslated_or_international,ok
schizotypy,schizotypy,1,fallback_untranslated_or_international,ok
school achievements,school achievements,1,fallback_untranslated_or_international,ok
scientific production,scientific production,1,fallback_untranslated_or_international,ok
seizures,seizures,1,fallback_untranslated_or_international,ok
risk,risk,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
risk behaviors,risk behaviors,1,fallback_untranslated_or_international,ok
risk managment,risk managment,1,fallback_untranslated_or_international,ok
rosacea,rosacea,1,fallback_untranslated_or_international,ok
ruminative thinking,ruminative thinking,1,fallback_untranslated_or_international,ok
runaway girls,runaway girls,1,fallback_untranslated_or_international,ok
russia,russia,1,fallback_untranslated_or_international,ok
salience,salience,1,fallback_untranslated_or_international,ok
remote working,remote working,1,fallback_untranslated_or_international,ok
repeated transcranial magnetic stimulation,repeated transcranial magnetic stimulation,1,fallback_untranslated_or_international,ok
resident,resident,1,fallback_untranslated_or_international,ok
resiliency,resiliency,1,fallback_untranslated_or_international,ok
resiliency training,resiliency training,1,fallback_untranslated_or_international,ok
respiration,respiration,1,fallback_untranslated_or_international,ok
reversibility,reversibility,1,fallback_untranslated_or_international,ok
rhinoplasty surgery,rhinoplasty surgery,1,fallback_untranslated_or_international,ok
relapse,nawrót,1,previous_polish_retained,ok
relationship,relationship,1,fallback_untranslated_or_international,ok
relationship patterns,relationship patterns,1,fallback_untranslated_or_international,ok
relationship with the patient,relationship with the pacjent,1,fallback_phrase_translation,ok
reliable change,reliable change,1,fallback_untranslated_or_international,ok
religion,religion,1,fallback_untranslated_or_international,ok
religious and social predictors,religious and społeczny predictors,1,previous_polish_retained,ok
religious coping,religious coping,1,fallback_untranslated_or_international,ok
automatic thought,automatic thought,1,fallback_untranslated_or_international,ok
autonomous motivation,autonomous motivation,1,fallback_untranslated_or_international,ok
selenium,selenium,1,fallback_untranslated_or_international,ok
self,self,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
self image,self obraz,1,fallback_phrase_translation,ok
self perception,self percepcja,1,fallback_phrase_translation,ok
self-aggression,self-agresja,1,fallback_phrase_translation,ok
self-evaluation,self-evaluation,1,fallback_untranslated_or_international,ok
author's memories,author's memories,1,fallback_untranslated_or_international,ok
authors index,authors index,1,fallback_untranslated_or_international,ok
auto-amputation,auto-amputation,1,fallback_untranslated_or_international,ok
autoaggresion,autoaggresion,1,fallback_untranslated_or_international,ok
autocreation,autocreation,1,fallback_untranslated_or_international,ok
autoimmune disease,autoimmune disease,1,fallback_untranslated_or_international,ok
autoimmune encephalitis,autoimmune encephalitis,1,fallback_untranslated_or_international,ok
automatic action,automatic action,1,fallback_untranslated_or_international,ok
atos,atos,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
attenuation of pair bonding,attenuation of pair bonding,1,fallback_untranslated_or_international,ok
attitude measurement,postawa measurement,1,fallback_phrase_translation,ok
attitudes,postawy,1,fallback_phrase_translation,ok
attitudes towards the body and eating,postawy towards the ciało and jedzenie,1,previous_polish_retained,ok
audit,audit,1,fallback_untranslated_or_international,ok
auditory hallucinations,auditory hallucinations,1,fallback_untranslated_or_international,ok
augmentation,augmentation,1,fallback_untranslated_or_international,ok
selective serotonin reuptake inhibitors (ssris),selective serotonin reuptake inhibitors (ssris),1,fallback_untranslated_or_international,ok
aspirin-induced asthma,aspirin-induced asthma,1,fallback_untranslated_or_international,ok
asrq,asrq,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
assertiveness,assertiveness,1,fallback_untranslated_or_international,ok
association,association,1,fallback_untranslated_or_international,ok
asthma severity,asthma severity,1,fallback_untranslated_or_international,ok
athletic ideal,athletic ideal,1,fallback_untranslated_or_international,ok
atopic dermatitis,atopic dermatitis,1,fallback_untranslated_or_international,ok
skydivers,skydivers,1,fallback_untranslated_or_international,ok
snap-25 gene,snap-25 gene,1,fallback_untranslated_or_international,ok
social care system,społeczny care system,1,previous_polish_retained,ok
social connectedness,społeczny connectedness,1,previous_polish_retained,ok
social constructionism,społeczny constructionism,1,previous_polish_retained,ok
social distancing,społeczny distancing,1,previous_polish_retained,ok
social exclusion,społeczny exclusion,1,previous_polish_retained,ok
social frustration,społeczny frustration,1,previous_polish_retained,ok
serum,serum,1,fallback_untranslated_or_international,ok
serum concentration,serum concentration,1,fallback_untranslated_or_international,ok
service users,service users,1,fallback_untranslated_or_international,ok
shame,shame,1,fallback_untranslated_or_international,ok
shape dissatisfaction,shape dissatisfaction,1,fallback_untranslated_or_international,ok
short-term dynamic therapy,short-term dynamic terapia,1,fallback_phrase_translation,ok
shyness,shyness,1,fallback_untranslated_or_international,ok
sibling relationships,sibling relationships,1,fallback_untranslated_or_international,ok
send by email,send by email,1,fallback_untranslated_or_international,ok
seniors,seniors,1,fallback_untranslated_or_international,ok
sensation seeking,sensation seeking,1,fallback_untranslated_or_international,ok
sense of bodily identity,sense of bodily tożsamość,1,fallback_phrase_translation,ok
sense of self,sense of self,1,fallback_untranslated_or_international,ok
sequential research design,sequential research design,1,fallback_untranslated_or_international,ok
serotonin reuptake inhibitors,serotonin reuptake inhibitors,1,fallback_untranslated_or_international,ok
sertraline,sertraline,1,fallback_untranslated_or_international,ok
self-harming,self-harming,1,fallback_untranslated_or_international,ok
self-motivation,self-motivation,1,fallback_untranslated_or_international,ok
self-perception,self-percepcja,1,fallback_phrase_translation,ok
self-regulation competences,self-regulation competences,1,fallback_untranslated_or_international,ok
self-report,self-report,1,fallback_untranslated_or_international,ok
self-starvation,self-starvation,1,fallback_untranslated_or_international,ok
semantic priming,semantic priming,1,fallback_untranslated_or_international,ok
semantic satiation,semantic satiation,1,fallback_untranslated_or_international,ok
strp,strp,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
structural equation modeling,structural equation modeling,1,fallback_untranslated_or_international,ok
structure,structure,1,fallback_untranslated_or_international,ok
student training,student training,1,fallback_untranslated_or_international,ok
stuttering,stuttering,1,fallback_untranslated_or_international,ok
styles of interpersonal functioning,styles of interpersonal funkcjonowanie,1,fallback_phrase_translation,ok
subjective aspects,subjective aspects,1,fallback_untranslated_or_international,ok
submit your paper,submit your artykuł,1,fallback_phrase_translation,strong_review_non_substantive_or_metadata
spouse burden,spouse burden,1,fallback_untranslated_or_international,ok
st. petersburg school of clinical psychology,st. petersburg school of kliniczny psychology,1,fallback_phrase_translation,ok
stages of supervision,stages of supervision,1,fallback_untranslated_or_international,ok
statistics,statistics,1,fallback_untranslated_or_international,ok
stigmatization,stigmatization,1,fallback_untranslated_or_international,ok
story,story,1,fallback_untranslated_or_international,ok
stq-now,stq-now,1,fallback_untranslated_or_international,ok
strategies of mapping,strategies of mapping,1,fallback_untranslated_or_international,ok
somatization,somatization,1,fallback_untranslated_or_international,ok
somatoform,somatoform,1,fallback_untranslated_or_international,ok
somatoform disorder,somatoform zaburzenie,1,fallback_phrase_translation,ok
sparteine oxidation,sparteine oxidation,1,fallback_untranslated_or_international,ok
spatial analysis,spatial analysis,1,fallback_untranslated_or_international,ok
specific disorder,specific zaburzenie,1,fallback_phrase_translation,ok
spect,spect,1,fallback_untranslated_or_international,ok
spirituality,duchowość,1,previous_polish_retained,ok
social learning,społeczny learning,1,previous_polish_retained,ok
social phobia,społeczny phobia,1,previous_polish_retained,ok
socio-demographic characteristics,socio-demographic characteristics,1,fallback_untranslated_or_international,ok
socioeconomic status,socioeconomic status,1,fallback_untranslated_or_international,ok
sodium-glucose co-transporter-2 inhibitor,sodium-glucose co-transporter-2 inhibitor,1,fallback_untranslated_or_international,ok
solastalgia,solastalgia,1,fallback_untranslated_or_international,ok
solution focused brief therapy,solution focused brief terapia,1,fallback_phrase_translation,ok
somatic disorder,somatic zaburzenie,1,fallback_phrase_translation,ok
the light triad,the light triad,1,fallback_untranslated_or_international,ok
the paradox,the paradox,1,fallback_untranslated_or_international,ok
thematic analysis,thematic analysis,1,fallback_untranslated_or_international,ok
thendency to computer games,thendency to computer games,1,fallback_untranslated_or_international,ok
therapeutic influence,therapeutic influence,1,fallback_untranslated_or_international,ok
alcohol withdrawal syndrome,alkohol withdrawal zespół,1,previous_polish_retained,ok
alcohol-exposed pregnancy,alcohol-exposed pregnancy,1,fallback_untranslated_or_international,ok
alcoholic extract,alcoholic extract,1,fallback_untranslated_or_international,ok
temporomandibular disorder,temporomandibular zaburzenie,1,fallback_phrase_translation,ok
temporomandibular joint dysfunction,temporomandibular joint dysfunction,1,fallback_untranslated_or_international,ok
temptation of omnipotence,temptation of omnipotence,1,fallback_untranslated_or_international,ok
territoriality,territoriality,1,fallback_untranslated_or_international,ok
thanatosis,thanatosis,1,fallback_untranslated_or_international,ok
the big five personality factor,the big five osobowość czynnik,1,previous_polish_retained,ok
the centrality of religiosity,the centrality of religiosity,1,fallback_untranslated_or_international,ok
the dark triad,the dark triad,1,fallback_untranslated_or_international,ok
symptomatic dimensions,symptomatic dimensions,1,fallback_untranslated_or_international,ok
syndrome,zespół,1,previous_polish_retained,ok
synthetic cannabinoids,synthetic cannabinoids,1,fallback_untranslated_or_international,ok
taboo,taboo,1,fallback_untranslated_or_international,ok
tako tsubo,tako tsubo,1,fallback_untranslated_or_international,ok
tako-tsubo,tako-tsubo,1,fallback_untranslated_or_international,ok
teachers,teachers,1,fallback_untranslated_or_international,ok
temperament and character,temperament and character,1,fallback_untranslated_or_international,ok
subtypes,subtypes,1,fallback_untranslated_or_international,ok
supervision,supervision,1,fallback_untranslated_or_international,ok
support,wsparcie,1,fallback_phrase_translation,ok
supportive-expressive therapy,supportive-expressive terapia,1,fallback_phrase_translation,ok
suppression,suppression,1,fallback_untranslated_or_international,ok
survivor,survivor,1,fallback_untranslated_or_international,ok
survivors,survivors,1,fallback_untranslated_or_international,ok
symptom improvement,objaw improvement,1,fallback_phrase_translation,ok
working hours,working hours,1,fallback_untranslated_or_international,ok
worry,worry,1,fallback_untranslated_or_international,ok
wrzesien,wrzesien,1,fallback_untranslated_or_international,ok
xenomelia,xenomelia,1,fallback_untranslated_or_international,ok
yoga,yoga,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
young adults,young adults,1,fallback_untranslated_or_international,ok
zataria multiflora boiss,zataria multiflora boiss,1,fallback_untranslated_or_international,ok
adoption identity,adoption tożsamość,1,fallback_phrase_translation,ok
type 2 (ntrk2),type 2 (ntrk2),1,fallback_untranslated_or_international,ok
uhplc,uhplc,1,fallback_untranslated_or_international,ok
whole body cryotherapy,whole ciało cryotherapy,1,previous_polish_retained,ok
wisconsin card sorting test,wisconsin card sorting test,1,fallback_untranslated_or_international,ok
withdrawal and relapse prevention treatment,withdrawal and nawrót profilaktyka leczenie,1,previous_polish_retained,ok
woman,woman,1,fallback_untranslated_or_international,ok
22q11.2 deletion syndrome,22q11.2 deletion zespół,1,previous_polish_retained,ok
1-year follow-up,1-year follow-up,1,fallback_untranslated_or_international,ok
transsexualism,transsexualism,1,fallback_untranslated_or_international,ok
treatment compliance,leczenie compliance,1,fallback_phrase_translation,ok
treatment efficacy,leczenie skuteczność,1,previous_polish_retained,ok
treatment outcome follow-up study,leczenie outcome follow-up study,1,fallback_phrase_translation,ok
treatment response,leczenie response,1,fallback_phrase_translation,ok
treatment techniques,leczenie techniques,1,fallback_phrase_translation,ok
trichotillomania,trichotillomania,1,fallback_untranslated_or_international,ok
type 1 diabetes mellitus,type 1 cukrzyca mellitus,1,fallback_phrase_translation,ok
topics index,topics index,1,fallback_untranslated_or_international,ok
topiramate,topiramate,1,fallback_untranslated_or_international,ok
transactional analysis,transactional analysis,1,fallback_untranslated_or_international,ok
transcranial direct current stimulation,transcranial direct current stimulation,1,fallback_untranslated_or_international,ok
transcranial direct current stimulation (tdcs),transcranial direct current stimulation (tdcs),1,fallback_untranslated_or_international,ok
transference-countertransference relationship,transference-countertransference relationship,1,fallback_untranslated_or_international,ok
transgenerational autonomy,transgenerational autonomia,1,fallback_phrase_translation,ok
transinstitutionalization,transinstitutionalization,1,fallback_untranslated_or_international,ok
vascular factor,vascular factor,1,fallback_untranslated_or_international,ok
verb generation,verb generation,1,fallback_untranslated_or_international,ok
verbal fluency,verbal fluency,1,fallback_untranslated_or_international,ok
vikings,vikings,1,fallback_untranslated_or_international,ok
virtual reality,virtual reality,1,fallback_untranslated_or_international,ok
visegrad countries,visegrad countries,1,fallback_untranslated_or_international,ok
visual imaginery,visual imaginery,1,fallback_untranslated_or_international,ok
voice hearing,voice hearing,1,fallback_untranslated_or_international,ok
underachievement,underachievement,1,fallback_untranslated_or_international,ok
unemployment,unemployment,1,fallback_untranslated_or_international,ok
urine,urine,1,fallback_untranslated_or_international,ok
utilization behavior,utilization behavior,1,fallback_untranslated_or_international,ok
vaginismus,vaginismus,1,fallback_untranslated_or_international,ok
vagus nerve,vagus nerve,1,fallback_untranslated_or_international,ok
values,wartości,1,previous_polish_retained,ok
values system,wartości system,1,fallback_phrase_translation,ok
agoraphobia,agoraphobia,1,fallback_untranslated_or_international,ok
aids,aids,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
alcohol,alcohol,1,fallback_untranslated_or_international,ok
alcohol consumption,alcohol consumption,1,fallback_untranslated_or_international,ok
uk,uk,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
unconscious primitive murderous rage,unconscious primitive murderous rage,1,fallback_untranslated_or_international,ok
unconsciousness in the supervision process,unconsciousness in the supervision process,1,fallback_untranslated_or_international,ok
uncontrolled eating,uncontrolled eating,1,fallback_untranslated_or_international,ok
adverse effect,adverse effect,1,fallback_untranslated_or_international,ok
aerobic exercise,aerobic exercise,1,fallback_untranslated_or_international,ok
affect phobia model,affect phobia model,1,fallback_untranslated_or_international,ok
affect regulation training,affect regulation training,1,fallback_untranslated_or_international,ok
affective,affective,1,fallback_untranslated_or_international,ok
affective temperaments,affective temperaments,1,fallback_untranslated_or_international,ok
affirming compulsions,affirming compulsions,1,fallback_untranslated_or_international,ok
agenesis of carpos callosum,agenesis of carpos callosum,1,fallback_untranslated_or_international,ok
