keyword_norm,keyword_final_en,keyword_final_polish,keyword_semantic_id,semantic_actions,translation_method,semantic_confidence,review_flag,n
interpersonal relational patterns,interpersonal relational patterns,interpersonal relational patterns,app_sem_0809,no_semantic_change,untranslated_review,low,translation_review,1
interpersonal relationships,interpersonal relationships,interpersonal relacje,app_sem_0810,no_semantic_change,token_partial_review,medium,translation_review,1
interpersonal trauma,interpersonal trauma,interpersonal trauma,app_sem_0811,no_semantic_change,token_partial_review,medium,translation_review,1
intervention studies,intervention studies,intervention studies,app_sem_0813,no_semantic_change,untranslated_review,low,translation_review,1
intimacy,intimacy,intimacy,app_sem_0814,no_semantic_change,untranslated_review,low,translation_review,1
intimacy in parents' families of origin,intimacy in parents' families of origin,intimacy in parents' families of origin,app_sem_0815,no_semantic_change,untranslated_review,low,translation_review,1
intimate partner violence,intimate partner violence,intimate partner przemoc,app_sem_0816,no_semantic_change,token_partial_review,medium,translation_review,1
intolerance of uncertainty,intolerance of uncertainty,intolerance of uncertainty,app_sem_0817,no_semantic_change,untranslated_review,low,translation_review,1
introject,introject,introject,app_sem_0818,no_semantic_change,untranslated_review,low,translation_review,1
invalidity,invalidity,invalidity,app_sem_0819,no_semantic_change,untranslated_review,low,translation_review,1
involvement,involvement,involvement,app_sem_0820,no_semantic_change,untranslated_review,low,translation_review,1
iran,iran,iran,app_sem_0821,no_semantic_change,untranslated_review,low,translation_review,1
irritable bowel syndrome,irritable bowel syndrome,irritable bowel zespół,app_sem_0822,no_semantic_change,token_partial_review,medium,translation_review,1
itch,itch,itch,app_sem_0823,no_semantic_change,untranslated_review,low,translation_review,1
iv users,iv users,iv users,app_sem_0824,no_semantic_change,untranslated_review,low,translation_review,1
jerzy w. aleksandrowicz,jerzy w. aleksandrowicz,jerzy w. aleksandrowicz,app_sem_0825,no_semantic_change,untranslated_review,low,translation_review,1
jewish resistance,jewish resistance,jewish resistance,app_sem_0826,no_semantic_change,untranslated_review,low,translation_review,1
jews,jews,jews,app_sem_0827,no_semantic_change,untranslated_review,low,translation_review,1
jizz,jizz,jizz,app_sem_0828,no_semantic_change,untranslated_review,low,translation_review,1
juridical problem,juridical problem,juridical problem,app_sem_0830,no_semantic_change,untranslated_review,low,translation_review,1
keywords index,keywords index,keywords index,app_sem_0831,no_semantic_change,untranslated_review,low,translation_review,1
keywords: acting on delusions,keywords: acting on delusions,keywords: acting on delusions,app_sem_0832,no_semantic_change,untranslated_review,low,translation_review,1
kidney failure,kidney failure,kidney failure,app_sem_0833,no_semantic_change,untranslated_review,low,translation_review,1
kluver-bucy syndrome,kluver-bucy syndrome,kluver-bucy zespół,app_sem_0834,no_semantic_change,token_partial_review,medium,translation_review,1
knowledge,knowledge,knowledge,app_sem_0835,no_semantic_change,untranslated_review,low,translation_review,1
krakow depression inventory (kid),krakow depression inventory (kid),krakow depresja inventory (kid),app_sem_0837,no_semantic_change,token_partial_review,medium,translation_review,1
lacosamide,lacosamide,lacosamide,app_sem_0838,no_semantic_change,untranslated_review,low,translation_review,1
language,language,language,app_sem_0839,no_semantic_change,untranslated_review,low,translation_review,1
language exercises,language exercises,language exercises,app_sem_0840,no_semantic_change,untranslated_review,low,translation_review,1
language training program,language training program,language training program,app_sem_0841,no_semantic_change,untranslated_review,low,translation_review,1
lc,lc,lc,app_sem_0842,no_semantic_change,untranslated_review,low,translation_review,1
left ventricular hypertrophy,left ventricular hypertrophy,left ventricular hypertrophy,app_sem_0844,no_semantic_change,untranslated_review,low,translation_review,1
lesch typology,lesch typology,lesch typology,app_sem_0845,no_semantic_change,untranslated_review,low,translation_review,1
leucotomy,leucotomy,leucotomy,app_sem_0846,no_semantic_change,untranslated_review,low,translation_review,1
libido,libido,libido,app_sem_0847,no_semantic_change,untranslated_review,low,translation_review,1
life experience,life experience,życie experience,app_sem_0848,no_semantic_change,token_partial_review,medium,translation_review,1
lipedema,lipedema,lipedema,app_sem_0850,no_semantic_change,untranslated_review,low,translation_review,1
lipomatosis,lipomatosis,lipomatosis,app_sem_0851,no_semantic_change,untranslated_review,low,translation_review,1
lithuania,lithuania,lithuania,app_sem_0852,no_semantic_change,untranslated_review,low,translation_review,1
locked psychiatric ward,locked psychiatric ward,locked psychiatryczny ward,app_sem_0853,no_semantic_change,token_partial_review,medium,translation_review,1
long-acting injectable depot formulation,long-acting injectable depot formulation,long-acting injectable depot formulation,app_sem_0855,no_semantic_change,untranslated_review,low,translation_review,1
long-term treatment,long-term treatment,long-term leczenie,app_sem_0857,no_semantic_change,token_partial_review,medium,translation_review,1
longitudinal two-wave study,longitudinal two-wave study,longitudinal two-wave badanie,app_sem_0858,no_semantic_change,token_partial_review,medium,translation_review,1
love trauma syndrome,love trauma syndrome,love trauma zespół,app_sem_0859,no_semantic_change,token_partial_review,medium,translation_review,1
luts,luts,luts,app_sem_0860,no_semantic_change,untranslated_review,low,translation_review,1
magnetic resonance imaging,magnetic resonance imaging,magnetic resonance imaging,app_sem_0861,no_semantic_change,untranslated_review,low,translation_review,1
major depression,major depression,major depresja,app_sem_0862,no_semantic_change,token_partial_review,medium,translation_review,1
major resistance,major resistance,major resistance,app_sem_0864,no_semantic_change,untranslated_review,low,translation_review,1
manganese superoxide dismutase,manganese superoxide dismutase,manganese superoxide dismutase,app_sem_0865,no_semantic_change,untranslated_review,low,translation_review,1
manic-depressive psychosis,manic-depressive psychosis,manic-depressive psychosis,app_sem_0866,no_semantic_change,untranslated_review,low,translation_review,1
manipulation,manipulation,manipulation,app_sem_0867,no_semantic_change,untranslated_review,low,translation_review,1
manuls,manuls,manuls,app_sem_0868,no_semantic_change,untranslated_review,low,translation_review,1
marihuana,marihuana,marihuana,app_sem_0869,no_semantic_change,untranslated_review,low,translation_review,1
marijuana,marijuana,marijuana,app_sem_0870,no_semantic_change,untranslated_review,low,translation_review,1
marital,marital,marital,app_sem_0871,no_semantic_change,untranslated_review,low,translation_review,1
marital relations,marital relations,marital relations,app_sem_0872,no_semantic_change,untranslated_review,low,translation_review,1
marital satisfaction,marital satisfaction,marital satisfaction,app_sem_0873,no_semantic_change,untranslated_review,low,translation_review,1
maslach burnout inventory,maslach burnout inventory,maslach wypalenie inventory,app_sem_0874,no_semantic_change,token_partial_review,medium,translation_review,1
masquerade,masquerade,masquerade,app_sem_0875,no_semantic_change,untranslated_review,low,translation_review,1
mastectomy,mastectomy,mastectomy,app_sem_0876,no_semantic_change,untranslated_review,low,translation_review,1
mastery,mastery,mastery,app_sem_0877,no_semantic_change,untranslated_review,low,translation_review,1
material loss,material loss,material loss,app_sem_0878,no_semantic_change,untranslated_review,low,translation_review,1
maternal behaviour,maternal behavior,maternal behavior,app_sem_0879,spelling:behaviour->behavior,untranslated_review,low,translation_review|semantic_merge_audit,1
meaning systems,meaning systems,meaning systems,app_sem_0881,no_semantic_change,untranslated_review,low,translation_review,1
mechanisms,mechanisms,mechanisms,app_sem_0882,no_semantic_change,untranslated_review,low,translation_review,1
media,media,media,app_sem_0883,no_semantic_change,untranslated_review,low,translation_review,1
mediational perspective,mediational perspective,mediational perspective,app_sem_0884,no_semantic_change,untranslated_review,low,translation_review,1
medical (clinical) psychology,medical (clinical) psychology,medical (clinical) psychology,app_sem_0885,no_semantic_change,untranslated_review,low,translation_review,1
medical commission,medical commission,medical commission,app_sem_0886,no_semantic_change,untranslated_review,low,translation_review,1
medical examination,medical examination,medical examination,app_sem_0888,no_semantic_change,untranslated_review,low,translation_review,1
medical marihuana,medical marihuana,medical marihuana,app_sem_0889,no_semantic_change,untranslated_review,low,translation_review,1
medical outpatients,medical outpatients,medical outpatients,app_sem_0890,no_semantic_change,untranslated_review,low,translation_review,1
medical psychology,medical psychology,medical psychology,app_sem_0892,no_semantic_change,untranslated_review,low,translation_review,1
medical speciality,medical speciality,medical speciality,app_sem_0893,no_semantic_change,untranslated_review,low,translation_review,1
medical statistics,medical statistics,medical statistics,app_sem_0894,no_semantic_change,untranslated_review,low,translation_review,1
medical stuff,medical stuff,medical stuff,app_sem_0896,no_semantic_change,untranslated_review,low,translation_review,1
medical workers,medical workers,medical workers,app_sem_0897,no_semantic_change,untranslated_review,low,translation_review,1
meditation,meditation,meditation,app_sem_0899,no_semantic_change,untranslated_review,low,translation_review,1
memantine,memantine,memantine,app_sem_0900,no_semantic_change,untranslated_review,low,translation_review,1
memory disturbances,memory disturbance,memory zaburzenie,app_sem_0902,plural_to_concept:memory disturbances->memory disturbance,token_partial_review,medium,translation_review|semantic_merge_audit,1
men's mental health,men's mental health,men's mental health,app_sem_0904,no_semantic_change,untranslated_review,low,translation_review,1
mental contamination,mental contamination,psychiczny contamination,app_sem_0905,no_semantic_change,token_partial_review,medium,translation_review,1
mental health care system,mental health care system,mental health care system,app_sem_0908,no_semantic_change,untranslated_review,low,translation_review,1
mental healthcare,mental healthcare,mental healthcare,app_sem_0909,no_semantic_change,untranslated_review,low,translation_review,1
meta-analysis,meta-analysis,meta-analysis,app_sem_0912,no_semantic_change,untranslated_review,low,translation_review,1
metacognition,metacognition,metacognition,app_sem_0914,no_semantic_change,untranslated_review,low,translation_review,1
metacognitive beliefs,metacognitive beliefs,metacognitive beliefs,app_sem_0915,no_semantic_change,untranslated_review,low,translation_review,1
metaphors,metaphors,metaphors,app_sem_0917,no_semantic_change,untranslated_review,low,translation_review,1
methadone,methadone,methadone,app_sem_0918,no_semantic_change,untranslated_review,low,translation_review,1
methamphetamine users,methamphetamine users,methamphetamine users,app_sem_0919,no_semantic_change,untranslated_review,low,translation_review,1
methodology problems,methodology problems,methodology problems,app_sem_0920,no_semantic_change,untranslated_review,low,translation_review,1
microbiome,microbiome,microbiome,app_sem_0922,no_semantic_change,untranslated_review,low,translation_review,1
microsphere galenics,microsphere galenics,microsphere galenics,app_sem_0923,no_semantic_change,untranslated_review,low,translation_review,1
mid-adolescence,mid-adolescence,mid-adolescence,app_sem_0924,no_semantic_change,untranslated_review,low,translation_review,1
midazolam,midazolam,midazolam,app_sem_0925,no_semantic_change,untranslated_review,low,translation_review,1
midwifery,midwifery,midwifery,app_sem_0926,no_semantic_change,untranslated_review,low,translation_review,1
migraine,migraine,migraine,app_sem_0927,no_semantic_change,untranslated_review,low,translation_review,1
mild cognitive impairment,mild cognitive impairment,mild poznawczy impairment,app_sem_0928,no_semantic_change,token_partial_review,medium,translation_review,1
military population,military population,military population,app_sem_0929,no_semantic_change,untranslated_review,low,translation_review,1
mindful eating,mindful eating,mindful jedzenie,app_sem_0930,no_semantic_change,token_partial_review,medium,translation_review,1
mirror processes,mirror processes,mirror processes,app_sem_0933,no_semantic_change,untranslated_review,low,translation_review,1
misdiagnosis,misdiagnosis,misdiagnosis,app_sem_0934,no_semantic_change,untranslated_review,low,translation_review,1
mismatch,mismatch,mismatch,app_sem_0935,no_semantic_change,untranslated_review,low,translation_review,1
misophonia,misophonia,misophonia,app_sem_0936,no_semantic_change,untranslated_review,low,translation_review,1
mixed family,mixed family,mixed rodzina,app_sem_0937,no_semantic_change,token_partial_review,medium,translation_review,1
mixed methods,mixed methods,mixed methods,app_sem_0938,no_semantic_change,untranslated_review,low,translation_review,1
mixed state,mixed state,mixed state,app_sem_0939,no_semantic_change,untranslated_review,low,translation_review,1
mobile phone,mobile phone,mobile phone,app_sem_0940,no_semantic_change,untranslated_review,low,translation_review,1
models of delusions,models of delusions,models of delusions,app_sem_0941,no_semantic_change,untranslated_review,low,translation_review,1
monotherpen,monotherpen,monotherpen,app_sem_0942,no_semantic_change,untranslated_review,low,translation_review,1
mood,mood,mood,app_sem_0943,no_semantic_change,untranslated_review,low,translation_review,1
mood disorder,mood disorder,mood zaburzenie,app_sem_0944,no_semantic_change,token_partial_review,medium,translation_review,1
mood disorder questionnaire,mood disorder questionnaire,mood zaburzenie kwestionariusz,app_sem_0945,no_semantic_change,token_partial_review,medium,translation_review,1
moral agent,moral agent,moral agent,app_sem_0946,no_semantic_change,untranslated_review,low,translation_review,1
moral disgust,moral disgust,moral disgust,app_sem_0947,no_semantic_change,untranslated_review,low,translation_review,1
moral emotions,moral emotions,moral emotions,app_sem_0948,no_semantic_change,untranslated_review,low,translation_review,1
more,more,more,app_sem_0949,no_semantic_change,untranslated_review,low,translation_review,1
mortality,mortality,mortality,app_sem_0950,no_semantic_change,untranslated_review,low,translation_review,1
mother-adult relations,mother-adult relations,mother-dorosły relations,app_sem_0951,no_semantic_change,token_partial_review,medium,translation_review,1
motivation to exercise,motivation to exercise,motivation to exercise,app_sem_0953,no_semantic_change,untranslated_review,low,translation_review,1
motivational aspects of treatment,motivational aspects of treatment,motivational aspects of leczenie,app_sem_0954,no_semantic_change,token_partial_review,medium,translation_review,1
motivational interviewing,motivational interviewing,motivational interviewing,app_sem_0955,no_semantic_change,untranslated_review,low,translation_review,1
motor inhibition,motor inhibition,motor inhibition,app_sem_0956,no_semantic_change,untranslated_review,low,translation_review,1
mr therapy,mr therapy,mr terapia,app_sem_0957,no_semantic_change,token_partial_review,medium,translation_review,1
multi-criteria,multi-criteria,multi-criteria,app_sem_0958,no_semantic_change,untranslated_review,low,translation_review,1
multidisciplinary treatment,multidisciplinary treatment,multidisciplinary leczenie,app_sem_0959,no_semantic_change,token_partial_review,medium,translation_review,1
multiple sclerosis,multiple sclerosis,multiple sclerosis,app_sem_0960,no_semantic_change,untranslated_review,low,translation_review,1
multiple sclerosis (ms),multiple sclerosis (ms),multiple sclerosis (ms),app_sem_0961,no_semantic_change,untranslated_review,low,translation_review,1
music therapy,music therapy,music terapia,app_sem_0962,no_semantic_change,token_partial_review,medium,translation_review,1
myocardial infarctions,myocardial infarction,zawał mięśnia sercowego,app_sem_0963,plural_to_concept:myocardial infarctions->myocardial infarction,glossary_exact,high,semantic_merge_audit,1
myofascial pain,myofascial pain,myofascial ból,app_sem_0964,no_semantic_change,token_partial_review,medium,translation_review,1
narcissism,narcissism,narcissism,app_sem_0965,no_semantic_change,untranslated_review,low,translation_review,1
negative affects,negative affects,negative affects,app_sem_0967,no_semantic_change,untranslated_review,low,translation_review,1
negative urgency,negative urgency,negative urgency,app_sem_0969,no_semantic_change,untranslated_review,low,translation_review,1
neurocognitive impairement,neurocognitive impairement,neurocognitive impairement,app_sem_0972,no_semantic_change,untranslated_review,low,translation_review,1
neurodevelopmental hypothesis,neurodevelopmental hypothesis,neurodevelopmental hypothesis,app_sem_0973,no_semantic_change,untranslated_review,low,translation_review,1
neurofibromatosis 1,neurofibromatosis 1,neurofibromatosis 1,app_sem_0974,no_semantic_change,untranslated_review,low,translation_review,1
neuroleptic treatment,neuroleptic treatment,neuroleptic leczenie,app_sem_0975,no_semantic_change,token_partial_review,medium,translation_review,1
neuromodulation,neuromodulation,neuromodulation,app_sem_0976,no_semantic_change,untranslated_review,low,translation_review,1
neuropsychiatric disease,neuropsychiatric disease,neuropsychiatric choroba,app_sem_0977,no_semantic_change,token_partial_review,medium,translation_review,1
neuropsychiatric manifestations,neuropsychiatric manifestations,neuropsychiatric manifestations,app_sem_0978,no_semantic_change,untranslated_review,low,translation_review,1
neuropsychiatry,neuropsychiatry,neuropsychiatry,app_sem_0979,no_semantic_change,untranslated_review,low,translation_review,1
neuropsychological assessment,neuropsychological assessment,neuropsychological assessment,app_sem_0980,no_semantic_change,untranslated_review,low,translation_review,1
neuropsychological symptoms,neuropsychological symptom,neuropsychological objaw,app_sem_0981,plural_to_concept:neuropsychological symptoms->neuropsychological symptom,token_partial_review,medium,translation_review|semantic_merge_audit,1
neurosis,neurosis,neurosis,app_sem_0984,no_semantic_change,untranslated_review,low,translation_review,1
neurotic conflict,neurotic conflict,nerwicowy conflict,app_sem_0985,no_semantic_change,token_partial_review,medium,translation_review,1
neurotic disorders symptoms,neurotic disorders symptom,nerwicowy zaburzenia objaw,app_sem_0987,plural_to_concept:neurotic disorders symptoms->neurotic disorders symptom,token_full,high,semantic_merge_audit,1
neurotransmission,neurotransmission,neurotransmission,app_sem_0991,no_semantic_change,untranslated_review,low,translation_review,1
neurotransmitter,neurotransmitter,neurotransmitter,app_sem_0992,no_semantic_change,untranslated_review,low,translation_review,1
neurotrophic tyrosine receptor kinase,neurotrophic tyrosine receptor kinase,neurotrophic tyrosine receptor kinase,app_sem_0993,no_semantic_change,untranslated_review,low,translation_review,1
neurotrophin factor (bdnf),neurotrophin factor (bdnf),neurotrophin czynnik (bdnf),app_sem_0994,no_semantic_change,token_partial_review,medium,translation_review,1
neurotrophins,neurotrophins,neurotrophins,app_sem_0995,no_semantic_change,untranslated_review,low,translation_review,1
neutrophil lymphocyte ratio,neutrophil lymphocyte ratio,neutrophil lymphocyte ratio,app_sem_0996,no_semantic_change,untranslated_review,low,translation_review,1
newsletter,newsletter,newsletter,app_sem_0997,no_semantic_change,untranslated_review,low,translation_review,1
newsletter 2,newsletter 2,newsletter 2,app_sem_0998,no_semantic_change,untranslated_review,low,translation_review,1
nigeria,nigeria,nigeria,app_sem_0999,no_semantic_change,untranslated_review,low,translation_review,1
night terror,night terror,night terror,app_sem_1000,no_semantic_change,untranslated_review,low,translation_review,1
nightmare sufferers,nightmare sufferers,nightmare sufferers,app_sem_1001,no_semantic_change,untranslated_review,low,translation_review,1
nmda,nmda,nmda,app_sem_1002,no_semantic_change,untranslated_review,low,translation_review,1
non suicidal self-injury,non suicidal self-injury,non samobójczy ja-injury,app_sem_1003,no_semantic_change,token_partial_review,medium,translation_review,1
non-clinical sample,non-clinical sample,non-clinical sample,app_sem_1004,no_semantic_change,untranslated_review,low,translation_review,1
non-competitive bodybuilding,non-competitive bodybuilding,non-competitive bodybuilding,app_sem_1005,no_semantic_change,untranslated_review,low,translation_review,1
nonadherence,nonadherence,nonadherence,app_sem_1006,no_semantic_change,untranslated_review,low,translation_review,1
nonverbal and verbal communication,nonverbal and verbal communication,nonverbal and verbal communication,app_sem_1007,no_semantic_change,untranslated_review,low,translation_review,1
normal vaginal delivery,normal vaginal delivery,normal vaginal delivery,app_sem_1008,no_semantic_change,untranslated_review,low,translation_review,1
normal weight,normal weight,normal weight,app_sem_1009,no_semantic_change,untranslated_review,low,translation_review,1
normative criteria,normative criteria,normative criteria,app_sem_1010,no_semantic_change,untranslated_review,low,translation_review,1
nosology,nosology,nosology,app_sem_1011,no_semantic_change,untranslated_review,low,translation_review,1
novel therapy,novel therapy,novel terapia,app_sem_1012,no_semantic_change,token_partial_review,medium,translation_review,1
nssi,nssi,nssi,app_sem_1013,no_semantic_change,untranslated_review,low,translation_review,1
nuclear family,nuclear family,nuclear rodzina,app_sem_1014,no_semantic_change,token_partial_review,medium,translation_review,1
nuclear family functioning scale,nuclear family functioning scale,nuclear rodzina functioning skala,app_sem_1015,no_semantic_change,token_partial_review,medium,translation_review,1
nurses,nurses,nurses,app_sem_1016,no_semantic_change,untranslated_review,low,translation_review,1
nutrition,nutrition,nutrition,app_sem_1017,no_semantic_change,untranslated_review,low,translation_review,1
o-demethylvenlafaxine,o-demethylvenlafaxine,o-demethylvenlafaxine,app_sem_1018,no_semantic_change,untranslated_review,low,translation_review,1
o-life,o-life,o-życie,app_sem_1019,no_semantic_change,token_partial_review,medium,translation_review,1
oab,oab,oab,app_sem_1020,no_semantic_change,untranslated_review,low,translation_review,1
object relations,object relations,object relations,app_sem_1022,no_semantic_change,untranslated_review,low,translation_review,1
obsessive compulsive disorder,obsessive-compulsive disorder,zaburzenie obsesyjno-kompulsyjne,app_sem_1024,exact_map:obsessive compulsive disorder->obsessive-compulsive disorder,glossary_exact,high,semantic_merge_audit,1
obsessive compulsive symptoms and symptoms of psychoactive substance use,obsessive compulsive symptoms and symptoms of psychoactive substance use,obsessive compulsive objawy and objawy of psychoactive substancja używanie,app_sem_1023,no_semantic_change,token_partial_review,medium,translation_review,1
obsessive-compulsive disorder (ocd),obsessive-compulsive disorder (ocd),obsessive-compulsive disorder (ocd),app_sem_1025,no_semantic_change,untranslated_review,low,translation_review,1
occupational burnout,occupational burnout,occupational wypalenie,app_sem_1026,no_semantic_change,token_partial_review,medium,translation_review,1
occupational diseases,occupational diseases,occupational diseases,app_sem_1027,no_semantic_change,untranslated_review,low,translation_review,1
ocrds,ocrds,ocrds,app_sem_1028,no_semantic_change,untranslated_review,low,translation_review,1
offenders,offenders,offenders,app_sem_1029,no_semantic_change,untranslated_review,low,translation_review,1
older workers,older workers,older workers,app_sem_1030,no_semantic_change,untranslated_review,low,translation_review,1
olfactory obsessions,olfactory obsessions,olfactory obsessions,app_sem_1031,no_semantic_change,untranslated_review,low,translation_review,1
olfactory obsessions questionnaire,olfactory obsessions questionnaire,olfactory obsessions kwestionariusz,app_sem_1032,no_semantic_change,token_partial_review,medium,translation_review,1
oligonucleotide microarray,oligonucleotide microarray,oligonucleotide microarray,app_sem_1033,no_semantic_change,untranslated_review,low,translation_review,1
oms guidelines,oms guidelines,oms guidelines,app_sem_1034,no_semantic_change,untranslated_review,low,translation_review,1
online e-diaries,online e-diaries,online e-diaries,app_sem_1036,no_semantic_change,untranslated_review,low,translation_review,1
online help,online help,online help,app_sem_1037,no_semantic_change,untranslated_review,low,translation_review,1
online psychotherapy,online psychotherapy,online psychoterapia,app_sem_1038,no_semantic_change,token_partial_review,medium,translation_review,1
online support,online support,online wsparcie,app_sem_1039,no_semantic_change,token_partial_review,medium,translation_review,1
online therapy,online therapy,online terapia,app_sem_1040,no_semantic_change,token_partial_review,medium,translation_review,1
opioid stabilization,opioid stabilization,opioid stabilization,app_sem_1041,no_semantic_change,untranslated_review,low,translation_review,1
oral care,oral care,oral care,app_sem_1042,no_semantic_change,untranslated_review,low,translation_review,1
oral health related quality of life,oral health related quality of life,oral zdrowie related jakość życia,app_sem_1043,no_semantic_change,token_partial_review,medium,translation_review,1
organicity,organicity,organicity,app_sem_1044,no_semantic_change,untranslated_review,low,translation_review,1
organization,organization,organization,app_sem_1045,no_semantic_change,untranslated_review,low,translation_review,1
osteogenesis imperfect,osteogenesis imperfect,osteogenesis imperfect,app_sem_1046,no_semantic_change,untranslated_review,low,translation_review,1
osteology,osteology,osteology,app_sem_1047,no_semantic_change,untranslated_review,low,translation_review,1
outpatient mental health care,outpatient mental health care,outpatient mental health care,app_sem_1048,no_semantic_change,untranslated_review,low,translation_review,1
outpatient psychotherapy,outpatient psychotherapy,outpatient psychoterapia,app_sem_1049,no_semantic_change,token_partial_review,medium,translation_review,1
overdoses,overdoses,overdoses,app_sem_1050,no_semantic_change,untranslated_review,low,translation_review,1
oxytocin,oxytocin,oxytocin,app_sem_1052,no_semantic_change,untranslated_review,low,translation_review,1
pair bonding,pair bonding,pair bonding,app_sem_1054,no_semantic_change,untranslated_review,low,translation_review,1
palliative care,palliative care,palliative care,app_sem_1055,no_semantic_change,untranslated_review,low,translation_review,1
panss,panss,panss,app_sem_1059,no_semantic_change,untranslated_review,low,translation_review,1
paper,paper,paper,app_sem_1060,no_semantic_change,untranslated_review,low,translation_review,1
parameters of mobilisation of the unconscious,parameters of mobilisation of the unconscious,parameters of mobilisation of the unconscious,app_sem_1061,no_semantic_change,untranslated_review,low,translation_review,1
parasomnia,parasomnia,parasomnia,app_sem_1063,no_semantic_change,untranslated_review,low,translation_review,1
parental attitudes,parental attitude,parental postawa,app_sem_1064,plural_to_concept:parental attitudes->parental attitude,token_partial_review,medium,translation_review|semantic_merge_audit,1
parenthood,parenthood,parenthood,app_sem_1065,no_semantic_change,untranslated_review,low,translation_review,1
parentification,parentification,parentification,app_sem_1066,no_semantic_change,untranslated_review,low,translation_review,1
parenting response,parenting response,parenting response,app_sem_1068,no_semantic_change,untranslated_review,low,translation_review,1
parkinson's disease,parkinson's disease,parkinson's choroba,app_sem_1071,no_semantic_change,token_partial_review,medium,translation_review,1
paroxetine,paroxetine,paroxetine,app_sem_1072,no_semantic_change,untranslated_review,low,translation_review,1
passivity,passivity,passivity,app_sem_1073,no_semantic_change,untranslated_review,low,translation_review,1
paternal behaviour,paternal behavior,paternal behavior,app_sem_1074,spelling:behaviour->behavior,untranslated_review,low,translation_review|semantic_merge_audit,1
paternal postnatal depression,paternal postnatal depression,paternal postnatal depresja,app_sem_1075,no_semantic_change,token_partial_review,medium,translation_review,1
paternal prenatal bonding,paternal prenatal bonding,paternal prenatal bonding,app_sem_1076,no_semantic_change,untranslated_review,low,translation_review,1
paternal-fetal attachment,paternal-fetal attachment,paternal-fetal przywiązanie,app_sem_1077,no_semantic_change,token_partial_review,medium,translation_review,1
paternalism,paternalism,paternalism,app_sem_1078,no_semantic_change,untranslated_review,low,translation_review,1
pathlogical worry,pathlogical worry,pathlogical worry,app_sem_1079,no_semantic_change,untranslated_review,low,translation_review,1
pathogen disgust,pathogen disgust,pathogen disgust,app_sem_1080,no_semantic_change,untranslated_review,low,translation_review,1
pathological,pathological,pathological,app_sem_1081,no_semantic_change,untranslated_review,low,translation_review,1
pathological skin picking,pathological skin picking,pathological skin picking,app_sem_1082,no_semantic_change,untranslated_review,low,translation_review,1
pathological traits,pathological traits,pathological traits,app_sem_1083,no_semantic_change,untranslated_review,low,translation_review,1
pathology,pathology,pathology,app_sem_1084,no_semantic_change,untranslated_review,low,translation_review,1
patients,patients,patients,app_sem_1085,no_semantic_change,untranslated_review,low,translation_review,1
patients age,patients age,patients age,app_sem_1086,no_semantic_change,untranslated_review,low,translation_review,1
patients' needs,patients' needs,patients' needs,app_sem_1087,no_semantic_change,untranslated_review,low,translation_review,1
pax-6 gene,pax-6 gene,pax-6 gene,app_sem_1088,no_semantic_change,untranslated_review,low,translation_review,1
peer,peer,peer,app_sem_1089,no_semantic_change,untranslated_review,low,translation_review,1
peer support,peer support,peer wsparcie,app_sem_1090,no_semantic_change,token_partial_review,medium,translation_review,1
penitentiary unit,penitentiary unit,penitentiary unit,app_sem_1091,no_semantic_change,untranslated_review,low,translation_review,1
people 60+,people 60+,people 60+,app_sem_1092,no_semantic_change,untranslated_review,low,translation_review,1
perceived control,perceived control,perceived control,app_sem_1093,no_semantic_change,untranslated_review,low,translation_review,1
perceived stress,perceived stress,perceived stres,app_sem_1094,no_semantic_change,token_partial_review,medium,translation_review,1
perception,perception,perception,app_sem_1095,no_semantic_change,untranslated_review,low,translation_review,1
perception of aggression,perception of aggression,perception of agresja,app_sem_1096,no_semantic_change,token_partial_review,medium,translation_review,1
perception of illness,perception of illness,perception of illness,app_sem_1097,no_semantic_change,untranslated_review,low,translation_review,1
performance anxiety,performance anxiety,performance lęk,app_sem_1098,no_semantic_change,token_partial_review,medium,translation_review,1
periodontal health,periodontal health,periodontal zdrowie,app_sem_1099,no_semantic_change,token_partial_review,medium,translation_review,1
person-oriented psychiatry,person-oriented psychiatry,person-oriented psychiatria,app_sem_1100,no_semantic_change,token_partial_review,medium,translation_review,1
personal autonomy,personal autonomy,personal autonomy,app_sem_1101,no_semantic_change,untranslated_review,low,translation_review,1
personal therapy,personal therapy,personal terapia,app_sem_1102,no_semantic_change,token_partial_review,medium,translation_review,1
personal values,personal values,personal values,app_sem_1103,no_semantic_change,untranslated_review,low,translation_review,1
personality belief questionnaire,personality belief questionnaire,osobowość belief kwestionariusz,app_sem_1106,no_semantic_change,token_partial_review,medium,translation_review,1
personality oriented (reconstructive) psychotherapy,personality oriented (reconstructive) psychotherapy,osobowość oriented (reconstructive) psychoterapia,app_sem_1108,no_semantic_change,token_partial_review,medium,translation_review,1
personality system interactions-psi,personality system interactions-psi,osobowość system interactions-psi,app_sem_1109,no_semantic_change,token_partial_review,medium,translation_review,1
personality tests,personality tests,osobowość tests,app_sem_1110,no_semantic_change,token_partial_review,medium,translation_review,1
personality traits changes,personality traits changes,osobowość traits changes,app_sem_1112,no_semantic_change,token_partial_review,medium,translation_review,1
personality types,personality types,osobowość types,app_sem_1113,no_semantic_change,token_partial_review,medium,translation_review,1
pharmacokinetics,pharmacokinetics,pharmacokinetics,app_sem_1115,no_semantic_change,untranslated_review,low,translation_review,1
